[11/7/2023, 12:19:30 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:30 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 4ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: / | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 2ms
[11/7/2023, 12:19:31 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:19:32 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:26:23 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:26:23 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:26:23 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 1ms
[11/7/2023, 12:26:23 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:26:23 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:26:23 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 2ms
[11/7/2023, 12:26:25 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:26:25 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 1ms
[11/7/2023, 12:26:25 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:26:25 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 1ms
[11/7/2023, 12:26:25 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:26:25 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:28:12 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:28:12 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 2ms
[11/7/2023, 12:28:12 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 2ms
[11/7/2023, 12:28:12 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 0ms
[11/7/2023, 12:28:12 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 2ms
[11/7/2023, 12:28:12 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:32:24 PM] | Method: GET | URL: / | Time Taken: 22ms
[11/7/2023, 12:32:24 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 3ms
[11/7/2023, 12:32:24 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 4ms
[11/7/2023, 12:32:24 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 1ms
[11/7/2023, 12:32:24 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:32:24 PM] | Method: GET | URL: /favicon-32x32.png | Time Taken: 1ms
[11/7/2023, 12:32:25 PM] | Method: GET | URL: / | Time Taken: 1ms
[11/7/2023, 12:32:26 PM] | Method: GET | URL: /swagger-ui-init.js | Time Taken: 1ms
[11/7/2023, 12:32:26 PM] | Method: GET | URL: /swagger-ui-bundle.js | Time Taken: 3ms
[11/7/2023, 12:32:26 PM] | Method: GET | URL: /swagger-ui.css | Time Taken: 4ms
[11/7/2023, 12:32:26 PM] | Method: GET | URL: /swagger-ui-standalone-preset.js | Time Taken: 3ms
